Country_Region,Province_State,World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16,iso_alpha3
Italy,,Italy,8.9,74.5,23.1,2738.7,3427.3,,4.1,5.9,142.4,100.0,100.0,ITA
Jamaica,,Jamaica,6.1,60.6,22.4,296.2,535.7,1.2,1.3,1.1,11.2,98.0,,JAM
Japan,,Japan,10.9,83.6,13.5,4233.0,4592.4,0.0,2.4,11.5,37.4,100.0,100.0,JPN
Jordan,,Jordan,5.5,63.2,28.0,223.5,494.8,5.7,2.3,3.4,24.5,98.0,65.0,JOR
Kazakhstan,,Kazakhstan,3.5,58.8,35.6,262.0,858.8,1.2,3.3,8.5,73.2,100.0,91.0,KAZ
Kenya,,Kenya,4.5,36.2,27.7,66.2,143.5,19.5,0.2,1.5,2.4,66.9,,KEN
,,Kiribati,11.9,79.6,0.1,188.0,249.8,17.0,0.2,4.8,8.2,94.0,,XXX
,,"Korea, Dem. People's Rep.",,,,,,,3.7,4.4,,100.0,,XXX
"Korea, South",,"Korea, Rep.",7.3,59.2,33.3,2043.9,2711.7,0.0,2.4,7.0,49.6,,99.0,KOR
,,Kosovo,,,,,,,,,27.7,,,XXX
Kuwait,,Kuwait,3.9,83.9,16.1,1068.3,2899.3,0.0,2.6,7.0,,,95.0,KWT
Kyrgyzstan,,Kyrgyz Republic,6.6,39.1,57.6,72.9,240.2,3.3,1.9,6.4,50.1,98.0,96.0,KGZ
Laos,,Lao PDR,2.4,32.4,46.4,55.2,154.6,18.1,0.5,1.0,3.7,73.0,,LAO
Latvia,,Latvia,6.2,54.6,44.6,874.2,1589.7,0.0,3.2,4.8,67.6,100.0,100.0,LVA
Lebanon,,Lebanon,8.0,52.1,32.1,662.1,1147.4,0.8,2.3,2.6,87.4,100.0,,LBN
,,Lesotho,8.1,63.8,18.9,85.5,242.7,17.3,0.1,0.7,0.6,43.3,,XXX
Liberia,,Liberia,9.6,14.2,47.3,68.3,133.1,30.1,0.0,0.1,0.6,24.6,,LBR
Libya,,Libya,,,,,,,2.2,6.7,,,,LBY
Liechtenstein,,Liechtenstein,,,,,,,,,71.9,100.0,,LIE
Lithuania,,Lithuania,6.7,65.6,32.3,987.9,1978.3,1.0,4.3,7.9,130.9,100.0,100.0,LTU
Luxembourg,,Luxembourg,6.2,81.2,11.2,6271.4,6374.2,1.2,3.0,12.3,80.8,100.0,100.0,LUX
Madagascar,,Madagascar,6.0,47.7,22.4,24.1,90.4,25.1,0.2,0.1,0.8,83.0,,MDG
,,Malawi,9.8,28.0,11.4,29.6,115.2,53.8,0.0,0.3,0.4,67.2,,XXX
Malaysia,,Malaysia,3.8,50.5,37.6,361.5,1052.5,0.0,1.5,4.1,11.4,,56.0,MYS
